mode,threads,M,K,N,perf_gops
default,1,64,512,512,453.68
default,2,64,512,512,715.76
default,4,64,512,512,1214.24
default,8,64,512,512,44.05
default,1,128,512,1024,480.28
default,2,128,512,1024,796.25
default,4,128,512,1024,1446.16
default,8,128,512,1024,2419.42
default,1,256,512,1024,475.92
default,2,256,512,1024,796.01
default,4,256,512,1024,1461.19
default,8,256,512,1024,2553.55
default,1,512,1024,1024,523.66
default,2,512,1024,1024,874.21
default,4,512,1024,1024,1598.64
default,8,512,1024,1024,2776.21
default,1,2048,4096,8192,548.32
default,2,2048,4096,8192,768.45
default,4,2048,4096,8192,1443.81
default,8,2048,4096,8192,2620.28
n3,1,64,512,512,446.2
n3,2,64,512,512,763.35
n3,4,64,512,512,1168.84
n3,8,64,512,512,1878.46
n3,1,128,512,1024,456.09
n3,2,128,512,1024,770.73
n3,4,128,512,1024,1386.82
n3,8,128,512,1024,2335.76
n3,1,256,512,1024,462.67
n3,2,256,512,1024,779.41
n3,4,256,512,1024,1414.08
n3,8,256,512,1024,2282.99
n3,1,512,1024,1024,512.4
n3,2,512,1024,1024,850.88
n3,4,512,1024,1024,1523.96
n3,8,512,1024,1024,2633.24
n3,1,2048,4096,8192,529.06
n3,2,2048,4096,8192,756.44
n3,4,2048,4096,8192,1410.41
n3,8,2048,4096,8192,2519.17
