impl,dtype,cache,M,K,N,threads,batch,kib,reps,perf,pct_base,pct_base_per_thread
sve,bf16,L2,64,512,512,1,1,704.0,30,254.98,77.27,77.27
sve,i8,H2,64,512,512,1,1,416.0,30,475.50,72.05,72.05
sve,bf16,L2,64,512,512,2,1,704.0,30,412.73,125.07,62.53
sve,i8,H2,64,512,512,2,1,416.0,30,730.19,110.64,55.32
sve,bf16,L2,64,512,512,4,1,704.0,30,714.61,216.55,54.14
sve,i8,H2,64,512,512,4,1,416.0,30,1248.28,189.13,47.28
sve,bf16,L2,64,512,512,8,1,704.0,30,1142.94,346.35,43.29
sve,i8,H2,64,512,512,8,1,416.0,30,1948.28,295.19,36.90
sve,bf16,GT_L2,128,512,1024,1,1,1664.0,30,261.34,79.20,79.20
sve,i8,L2,128,512,1024,1,1,1088.0,30,475.00,71.97,71.97
sve,bf16,GT_L2,128,512,1024,2,1,1664.0,30,436.62,132.31,66.15
sve,i8,L2,128,512,1024,2,1,1088.0,30,796.22,120.64,60.32
sve,bf16,GT_L2,128,512,1024,4,1,1664.0,30,780.27,236.45,59.11
sve,i8,L2,128,512,1024,4,1,1088.0,30,1431.36,216.87,54.22
sve,bf16,GT_L2,128,512,1024,8,1,1664.0,30,1250.14,378.83,47.35
sve,i8,L2,128,512,1024,8,1,1088.0,30,2500.44,378.85,47.36
sve,bf16,GT_L2,256,512,1024,1,1,2304.0,30,259.99,78.79,78.79
sve,i8,GT_L2,256,512,1024,1,1,1664.0,30,481.72,72.99,72.99
sve,bf16,GT_L2,256,512,1024,2,1,2304.0,30,442.92,134.22,67.11
sve,i8,GT_L2,256,512,1024,2,1,1664.0,30,816.01,123.64,61.82
sve,bf16,GT_L2,256,512,1024,4,1,2304.0,30,796.26,241.29,60.32
sve,i8,GT_L2,256,512,1024,4,1,1664.0,30,1471.40,222.94,55.73
sve,bf16,GT_L2,256,512,1024,8,1,2304.0,30,1431.85,433.89,54.24
sve,i8,GT_L2,256,512,1024,8,1,1664.0,30,2637.24,399.58,49.95
sve,bf16,GT_L2,512,1024,1024,1,1,5120.0,30,281.04,85.16,85.16
sve,i8,GT_L2,512,1024,1024,1,1,3584.0,30,535.25,81.10,81.10
sve,bf16,GT_L2,512,1024,1024,2,1,5120.0,30,466.22,141.28,70.64
sve,i8,GT_L2,512,1024,1024,2,1,3584.0,30,893.80,135.42,67.71
sve,bf16,GT_L2,512,1024,1024,4,1,5120.0,30,831.00,251.82,62.95
sve,i8,GT_L2,512,1024,1024,4,1,3584.0,30,1598.81,242.24,60.56
sve,bf16,GT_L2,512,1024,1024,8,1,5120.0,30,1524.10,461.85,57.73
sve,i8,GT_L2,512,1024,1024,8,1,3584.0,30,2923.84,443.01,55.38
sve,bf16,GT_L2,2048,4096,8192,1,1,147456.0,5,276.49,83.78,83.78
sve,i8,GT_L2,2048,4096,8192,1,1,106496.0,5,541.09,81.98,81.98
sve,bf16,GT_L2,2048,4096,8192,2,1,147456.0,5,444.69,134.75,67.38
sve,i8,GT_L2,2048,4096,8192,2,1,106496.0,5,761.95,115.45,57.72
sve,bf16,GT_L2,2048,4096,8192,4,1,147456.0,5,803.93,243.62,60.90
sve,i8,GT_L2,2048,4096,8192,4,1,106496.0,5,1452.10,220.02,55.00
sve,bf16,GT_L2,2048,4096,8192,8,1,147456.0,5,1531.22,464.01,58.00
sve,i8,GT_L2,2048,4096,8192,8,1,106496.0,5,2713.55,411.14,51.39
