lib,impl,dtype,M,K,N,threads,reps,perf,status,note
i8gemm,i8gemm_sve,i8,64,512,512,1,20,453.32,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,64,512,512,1,20,472.48,ok,compute_dispatch
acl,acl_auto,i8,64,512,512,1,20,510.524,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_fixed,i8,64,512,512,1,20,359.784,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,i8,64,512,512,2,20,717.02,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,64,512,512,2,20,763.25,ok,compute_dispatch
acl,acl_auto,i8,64,512,512,2,20,835.834,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_fixed,i8,64,512,512,2,20,526.692,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,i8,64,512,512,4,20,1165.79,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,64,512,512,4,20,1360.41,ok,compute_dispatch
acl,acl_auto,i8,64,512,512,4,20,1408.057,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_fixed,i8,64,512,512,4,20,776.516,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,i8,64,512,512,8,20,1809.66,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,64,512,512,8,20,2218.77,ok,compute_dispatch
acl,acl_auto,i8,64,512,512,8,20,2299.662,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_fixed,i8,64,512,512,8,20,724.246,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,i8,128,512,1024,1,20,479.73,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,128,512,1024,1,20,469.85,ok,compute_dispatch
acl,acl_auto,i8,128,512,1024,1,20,519.547,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_fixed,i8,128,512,1024,1,20,381.748,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,i8,128,512,1024,2,20,799.64,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,128,512,1024,2,20,756.81,ok,compute_dispatch
acl,acl_auto,i8,128,512,1024,2,20,840.442,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_fixed,i8,128,512,1024,2,20,593.544,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,i8,128,512,1024,4,20,1419.21,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,128,512,1024,4,20,1302.07,ok,compute_dispatch
acl,acl_auto,i8,128,512,1024,4,20,1511.706,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_fixed,i8,128,512,1024,4,20,951.334,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,i8,128,512,1024,8,20,2385.59,ok,compute_dispatch
i8gemm,i8gemm_neon,i8,128,512,1024,8,20,2256.29,ok,compute_dispatch
acl,acl_auto,i8,128,512,1024,8,20,2509.424,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
