impl,dtype,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_own_peak,pct_of_own_peak_xthreads
sve,i8,H2,64,512,512,1,1,416.0,80,387.82,58.46,58.46
neon,i8,H2,64,512,512,1,1,416.0,80,409.18,123.36,123.36
sve,i8,GT_L2,64,512,4096,1,1,3104.0,50,385.24,58.07,58.07
neon,i8,GT_L2,64,512,4096,1,1,3104.0,50,354.58,106.90,106.90
sve,i8,GT_L2,512,512,4096,1,1,10496.0,40,385.14,58.06,58.06
neon,i8,GT_L2,512,512,4096,1,1,10496.0,40,359.63,108.42,108.42
sve,i8,GT_L2,512,4096,1024,1,1,8192.0,20,497.74,75.03,75.03
neon,i8,GT_L2,512,4096,1024,1,1,8192.0,20,327.12,98.62,98.62
sve,i8,GT_L2,2048,512,4096,1,1,35840.0,15,383.49,57.81,57.81
neon,i8,GT_L2,2048,512,4096,1,1,35840.0,15,362.44,109.27,109.27
sve,i8,GT_L2,2048,4096,1024,1,1,20480.0,10,491.95,74.16,74.16
neon,i8,GT_L2,2048,4096,1024,1,1,20480.0,10,325.49,98.13,98.13
sve,i8,GT_L2,64,4096,1024,1,1,4608.0,30,497.10,74.93,74.93
neon,i8,GT_L2,64,4096,1024,1,1,4608.0,30,327.11,98.62,98.62
