impl,dtype,split,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_baseline,pct_of_baseline_xthreads
sve,i8,auto,H2,64,512,512,1,1,416.0,30,266.44,40.37,40.37
sve,i8,m,H2,64,512,512,1,1,416.0,30,264.56,40.08,40.08
sve,i8,n,H2,64,512,512,1,1,416.0,30,292.73,44.35,44.35
sve,i8,auto,H2,64,512,512,2,1,416.0,30,457.58,69.33,34.67
sve,i8,m,H2,64,512,512,2,1,416.0,30,454.91,68.93,34.46
sve,i8,n,H2,64,512,512,2,1,416.0,30,489.85,74.22,37.11
sve,i8,auto,GT_L2,64,512,4096,2,1,3104.0,30,494.83,74.97,37.49
sve,i8,m,GT_L2,64,512,4096,2,1,3104.0,30,446.73,67.69,33.84
sve,i8,n,GT_L2,64,512,4096,2,1,3104.0,30,494.37,74.91,37.45
sve,i8,auto,GT_L2,64,512,4096,4,1,3104.0,30,900.46,136.43,34.11
sve,i8,m,GT_L2,64,512,4096,4,1,3104.0,30,818.05,123.95,30.99
sve,i8,n,GT_L2,64,512,4096,4,1,3104.0,30,896.75,135.87,33.97
sve,i8,auto,GT_L2,64,512,4096,8,1,3104.0,30,1678.53,254.32,31.79
sve,i8,m,GT_L2,64,512,4096,8,1,3104.0,30,1530.65,231.92,28.99
sve,i8,n,GT_L2,64,512,4096,8,1,3104.0,30,1677.16,254.12,31.76
sve,i8,auto,GT_L2,512,512,4096,4,1,10496.0,30,869.58,131.76,32.94
sve,i8,m,GT_L2,512,512,4096,4,1,10496.0,30,817.89,123.92,30.98
sve,i8,n,GT_L2,512,512,4096,4,1,10496.0,30,872.52,132.20,33.05
sve,i8,auto,GT_L2,512,512,4096,8,1,10496.0,30,1660.94,251.66,31.46
sve,i8,m,GT_L2,512,512,4096,8,1,10496.0,30,1548.28,234.59,29.32
sve,i8,n,GT_L2,512,512,4096,8,1,10496.0,30,1661.92,251.81,31.48
sve,i8,auto,GT_L2,64,4096,1024,4,1,4608.0,30,1018.50,154.32,38.58
sve,i8,m,GT_L2,64,4096,1024,4,1,4608.0,30,963.30,145.96,36.49
sve,i8,n,GT_L2,64,4096,1024,4,1,4608.0,30,1019.84,154.52,38.63
sve,i8,auto,GT_L2,64,4096,1024,8,1,4608.0,30,1899.48,287.80,35.97
sve,i8,m,GT_L2,64,4096,1024,8,1,4608.0,30,1743.73,264.20,33.03
sve,i8,n,GT_L2,64,4096,1024,8,1,4608.0,30,1899.86,287.86,35.98
