impl,dtype,split,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_baseline,pct_of_baseline_xthreads
sve,i8,auto,H2,64,512,512,1,1,416.0,30,324.13,49.11,49.11
sve,i8,m,H2,64,512,512,1,1,416.0,30,323.72,49.05,49.05
sve,i8,n,H2,64,512,512,1,1,416.0,30,367.56,55.69,55.69
sve,i8,auto,H2,64,512,512,2,1,416.0,30,543.15,82.29,41.15
sve,i8,m,H2,64,512,512,2,1,416.0,30,550.80,83.45,41.73
sve,i8,n,H2,64,512,512,2,1,416.0,30,598.63,90.70,45.35
sve,i8,auto,GT_L2,64,512,4096,2,1,3104.0,30,632.19,95.79,47.89
sve,i8,m,GT_L2,64,512,4096,2,1,3104.0,30,540.79,81.94,40.97
sve,i8,n,GT_L2,64,512,4096,2,1,3104.0,30,632.74,95.87,47.94
sve,i8,auto,GT_L2,64,512,4096,4,1,3104.0,30,1147.17,173.81,43.45
sve,i8,m,GT_L2,64,512,4096,4,1,3104.0,30,989.64,149.95,37.49
sve,i8,n,GT_L2,64,512,4096,4,1,3104.0,30,1147.26,173.83,43.46
sve,i8,auto,GT_L2,64,512,4096,8,1,3104.0,30,2141.33,324.44,40.56
sve,i8,m,GT_L2,64,512,4096,8,1,3104.0,30,1831.24,277.46,34.68
sve,i8,n,GT_L2,64,512,4096,8,1,3104.0,30,2132.93,323.17,40.40
sve,i8,auto,GT_L2,512,512,4096,4,1,10496.0,30,1135.51,172.05,43.01
sve,i8,m,GT_L2,512,512,4096,4,1,10496.0,30,988.23,149.73,37.43
sve,i8,n,GT_L2,512,512,4096,4,1,10496.0,30,1134.36,171.87,42.97
sve,i8,auto,GT_L2,512,512,4096,8,1,10496.0,30,2152.59,326.15,40.77
sve,i8,m,GT_L2,512,512,4096,8,1,10496.0,30,1849.94,280.29,35.04
sve,i8,n,GT_L2,512,512,4096,8,1,10496.0,30,2153.51,326.29,40.79
sve,i8,auto,GT_L2,64,4096,1024,4,1,4608.0,30,1321.14,200.17,50.04
sve,i8,m,GT_L2,64,4096,1024,4,1,4608.0,30,1187.50,179.92,44.98
sve,i8,n,GT_L2,64,4096,1024,4,1,4608.0,30,1324.59,200.70,50.17
sve,i8,auto,GT_L2,64,4096,1024,8,1,4608.0,30,2410.16,365.18,45.65
sve,i8,m,GT_L2,64,4096,1024,8,1,4608.0,30,2159.30,327.17,40.90
sve,i8,n,GT_L2,64,4096,1024,8,1,4608.0,30,2411.74,365.42,45.68
