variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
i8_sve_full,i32,H2,64,512,512,1,416.0,30,262.98,39.84,39.84,1,1
i8_sve_nostore,i32,H2,64,512,512,1,416.0,30,308.00,46.67,46.67,1,1
i8_sve_noload,i32,H2,64,512,512,1,416.0,30,416.31,63.08,63.08,1,1
i8_sve_compute_only,i32,H2,64,512,512,1,416.0,30,662.71,100.41,100.41,1,1
i8_sve_full,i32,H2,64,512,512,2,416.0,30,448.54,67.96,33.98,1,1
i8_sve_nostore,i32,H2,64,512,512,2,416.0,30,520.19,78.82,39.41,1,1
i8_sve_noload,i32,H2,64,512,512,2,416.0,30,812.39,123.09,61.54,1,1
i8_sve_compute_only,i32,H2,64,512,512,2,416.0,30,1284.83,194.67,97.34,1,1
i8_sve_full,i32,GT_L2,64,512,4096,2,3104.0,30,490.60,74.33,37.17,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,2,3104.0,30,575.34,87.17,43.59,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,2,3104.0,30,939.53,142.35,71.18,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,2,3104.0,30,1315.86,199.37,99.69,1,1
i8_sve_full,i32,GT_L2,64,512,4096,4,3104.0,30,893.51,135.38,33.85,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,4,3104.0,30,1037.60,157.21,39.30,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,4,3104.0,30,1582.17,239.72,59.93,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,4,3104.0,30,2105.33,318.99,79.75,1,1
i8_sve_full,i32,GT_L2,64,512,4096,8,3104.0,30,1676.12,253.96,31.74,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,8,3104.0,30,1924.57,291.60,36.45,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,8,3104.0,30,2852.85,432.25,54.03,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,8,3104.0,30,3661.23,554.73,69.34,1,1
i8_sve_full,i32,GT_L2,512,512,4096,4,10496.0,30,868.83,131.64,32.91,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,4,10496.0,30,1002.93,151.96,37.99,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,4,10496.0,30,1602.65,242.83,60.71,1,1
i8_sve_compute_only,i32,GT_L2,512,512,4096,4,10496.0,30,2118.43,320.97,80.24,1,1
i8_sve_full,i32,GT_L2,512,512,4096,8,10496.0,30,1659.94,251.51,31.44,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,8,10496.0,30,1884.93,285.60,35.70,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,8,10496.0,30,2913.27,441.40,55.18,1,1
i8_sve_compute_only,i32,GT_L2,512,512,4096,8,10496.0,30,3696.59,560.09,70.01,1,1
i8_sve_full,i32,GT_L2,64,4096,1024,4,4608.0,30,1009.42,152.94,38.24,1,1
i8_sve_nostore,i32,GT_L2,64,4096,1024,4,4608.0,30,1032.42,156.43,39.11,1,1
i8_sve_noload,i32,GT_L2,64,4096,1024,4,4608.0,30,2028.59,307.36,76.84,1,1
i8_sve_compute_only,i32,GT_L2,64,4096,1024,4,4608.0,30,2114.94,320.45,80.11,1,1
i8_sve_full,i32,GT_L2,64,4096,1024,8,4608.0,30,1884.17,285.48,35.69,1,1
i8_sve_nostore,i32,GT_L2,64,4096,1024,8,4608.0,30,1923.91,291.50,36.44,1,1
i8_sve_noload,i32,GT_L2,64,4096,1024,8,4608.0,30,3546.44,537.34,67.17,1,1
i8_sve_compute_only,i32,GT_L2,64,4096,1024,8,4608.0,30,3664.67,555.25,69.41,1,1
