variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
i8_sve_full,i32,H2,64,512,512,1,416.0,30,332.99,50.45,50.45,1,1
i8_sve_nostore,i32,H2,64,512,512,1,416.0,30,408.34,61.87,61.87,1,1
i8_sve_noload,i32,H2,64,512,512,1,416.0,30,416.37,63.09,63.09,1,1
i8_sve_compute_only,i32,H2,64,512,512,1,416.0,30,662.24,100.34,100.34,1,1
i8_sve_full,i32,H2,64,512,512,2,416.0,30,566.96,85.90,42.95,1,1
i8_sve_nostore,i32,H2,64,512,512,2,416.0,30,678.13,102.75,51.37,1,1
i8_sve_noload,i32,H2,64,512,512,2,416.0,30,810.52,122.81,61.40,1,1
i8_sve_compute_only,i32,H2,64,512,512,2,416.0,30,1285.88,194.83,97.42,1,1
i8_sve_full,i32,GT_L2,64,512,4096,2,3104.0,30,631.86,95.74,47.87,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,2,3104.0,30,766.11,116.08,58.04,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,2,3104.0,30,935.95,141.81,70.91,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,2,3104.0,30,1316.84,199.52,99.76,1,1
i8_sve_full,i32,GT_L2,64,512,4096,4,3104.0,30,1148.82,174.06,43.52,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,4,3104.0,30,1382.71,209.50,52.38,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,4,3104.0,30,1578.33,239.14,59.79,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,4,3104.0,30,2104.90,318.92,79.73,1,1
i8_sve_full,i32,GT_L2,64,512,4096,8,3104.0,30,2170.98,328.94,41.12,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,8,3104.0,30,2542.72,385.26,48.16,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,8,3104.0,30,2859.96,433.33,54.17,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,8,3104.0,30,3663.84,555.13,69.39,1,1
i8_sve_full,i32,GT_L2,512,512,4096,4,10496.0,30,1139.39,172.64,43.16,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,4,10496.0,30,1412.64,214.04,53.51,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,4,10496.0,30,1604.20,243.06,60.76,1,1
i8_sve_compute_only,i32,GT_L2,512,512,4096,4,10496.0,30,2117.00,320.76,80.19,1,1
i8_sve_full,i32,GT_L2,512,512,4096,8,10496.0,30,2170.39,328.85,41.11,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,8,10496.0,30,2630.66,398.58,49.82,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,8,10496.0,30,2919.73,442.38,55.30,1,1
i8_sve_compute_only,i32,GT_L2,512,512,4096,8,10496.0,30,3700.21,560.64,70.08,1,1
i8_sve_full,i32,GT_L2,64,4096,1024,4,4608.0,30,1353.71,205.11,51.28,1,1
i8_sve_nostore,i32,GT_L2,64,4096,1024,4,4608.0,30,1394.68,211.32,52.83,1,1
i8_sve_noload,i32,GT_L2,64,4096,1024,4,4608.0,30,2029.61,307.52,76.88,1,1
i8_sve_compute_only,i32,GT_L2,64,4096,1024,4,4608.0,30,2119.93,321.20,80.30,1,1
i8_sve_full,i32,GT_L2,64,4096,1024,8,4608.0,30,2519.14,381.69,47.71,1,1
i8_sve_nostore,i32,GT_L2,64,4096,1024,8,4608.0,30,2589.75,392.39,49.05,1,1
i8_sve_noload,i32,GT_L2,64,4096,1024,8,4608.0,30,3561.02,539.55,67.44,1,1
i8_sve_compute_only,i32,GT_L2,64,4096,1024,8,4608.0,30,3654.47,553.71,69.21,1,1
