shape,impl,m,k,n,threads,gops,util_pct
64x512x512,sve_m12_unroll,64,512,512,1,354.69,53.47
64x512x512,sve_m8,64,512,512,1,349.98,52.76
64x512x512,neon,64,512,512,1,302.54,45.84
64x512x4096,sve_m12_unroll,64,512,4096,1,394.82,59.51
64x512x4096,sve_m8,64,512,4096,1,305.78,46.09
64x512x4096,neon,64,512,4096,1,313.41,47.49
512x512x4096,sve_m12_unroll,512,512,4096,1,460.95,69.48
512x512x4096,sve_m8,512,512,4096,1,348.96,52.60
512x512x4096,neon,512,512,4096,1,282.62,42.82
2048x512x4096,sve_m12_unroll,2048,512,4096,1,343.73,51.81
2048x512x4096,sve_m8,2048,512,4096,1,320.77,48.35
2048x512x4096,neon,2048,512,4096,1,290.50,44.02
64x4096x1024,sve_m12_unroll,64,4096,1024,1,535.40,80.71
64x4096x1024,sve_m8,64,4096,1024,1,534.91,80.63
64x4096x1024,neon,64,4096,1024,1,327.21,49.58
512x4096x1024,sve_m12_unroll,512,4096,1024,1,568.52,85.70
512x4096x1024,sve_m8,512,4096,1024,1,551.62,83.15
512x4096x1024,neon,512,4096,1024,1,327.10,49.56
