impl,dtype,split,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_baseline,pct_of_baseline_xthreads
sve,i8,auto,H2,64,512,512,1,1,416.0,40,336.40,50.97,50.97
neon,i8,auto,H2,64,512,512,1,1,416.0,40,398.59,60.39,60.39
sve,i8,auto,H2,64,512,512,2,1,416.0,40,565.35,85.66,42.83
neon,i8,auto,H2,64,512,512,2,1,416.0,40,665.67,100.86,50.43
sve,i8,auto,GT_L2,64,512,4096,2,1,3104.0,40,630.36,95.51,47.75
neon,i8,auto,GT_L2,64,512,4096,2,1,3104.0,40,606.92,91.96,45.98
sve,i8,auto,GT_L2,64,512,4096,4,1,3104.0,40,1116.55,169.17,42.29
neon,i8,auto,GT_L2,64,512,4096,4,1,3104.0,40,1160.97,175.91,43.98
sve,i8,auto,GT_L2,64,512,4096,8,1,3104.0,40,2079.56,315.09,39.39
neon,i8,auto,GT_L2,64,512,4096,8,1,3104.0,40,2198.49,333.11,41.64
sve,i8,auto,GT_L2,512,512,4096,4,1,10496.0,40,1137.68,172.38,43.09
neon,i8,auto,GT_L2,512,512,4096,4,1,10496.0,40,1174.37,177.94,44.48
sve,i8,auto,GT_L2,512,512,4096,8,1,10496.0,40,2142.33,324.59,40.57
neon,i8,auto,GT_L2,512,512,4096,8,1,10496.0,40,2224.41,337.03,42.13
sve,i8,auto,GT_L2,64,4096,1024,4,1,4608.0,40,1311.49,198.71,49.68
neon,i8,auto,GT_L2,64,4096,1024,4,1,4608.0,40,1143.68,173.28,43.32
sve,i8,auto,GT_L2,64,4096,1024,8,1,4608.0,40,2374.78,359.82,44.98
neon,i8,auto,GT_L2,64,4096,1024,8,1,4608.0,40,2150.79,325.88,40.73
