impl,dtype,split,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_baseline,pct_of_baseline_xthreads
sve,i8,auto,H2,64,512,512,1,1,416.0,40,389.79,59.06,59.06
neon,i8,auto,H2,64,512,512,1,1,416.0,40,392.24,59.43,59.43
sve,i8,auto,H2,64,512,512,2,1,416.0,40,645.03,97.73,48.87
neon,i8,auto,H2,64,512,512,2,1,416.0,40,657.45,99.61,49.81
sve,i8,auto,GT_L2,64,512,4096,2,1,3104.0,40,670.93,101.66,50.83
neon,i8,auto,GT_L2,64,512,4096,2,1,3104.0,40,607.98,92.12,46.06
sve,i8,auto,GT_L2,64,512,4096,4,1,3104.0,40,1246.43,188.85,47.21
neon,i8,auto,GT_L2,64,512,4096,4,1,3104.0,40,1166.71,176.77,44.19
sve,i8,auto,GT_L2,64,512,4096,8,1,3104.0,40,2349.00,355.91,44.49
neon,i8,auto,GT_L2,64,512,4096,8,1,3104.0,40,2198.40,333.09,41.64
sve,i8,auto,GT_L2,512,512,4096,4,1,10496.0,40,1325.51,200.83,50.21
neon,i8,auto,GT_L2,512,512,4096,4,1,10496.0,40,1183.91,179.38,44.85
sve,i8,auto,GT_L2,512,512,4096,8,1,10496.0,40,2508.56,380.08,47.51
neon,i8,auto,GT_L2,512,512,4096,8,1,10496.0,40,2221.93,336.66,42.08
sve,i8,auto,GT_L2,64,4096,1024,4,1,4608.0,40,1460.19,221.24,55.31
neon,i8,auto,GT_L2,64,4096,1024,4,1,4608.0,40,1143.65,173.28,43.32
sve,i8,auto,GT_L2,64,4096,1024,8,1,4608.0,40,2607.29,395.04,49.38
neon,i8,auto,GT_L2,64,4096,1024,8,1,4608.0,40,2134.56,323.42,40.43
