variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
i8_sve_full,i32,H2,64,512,512,1,416.0,40,343.71,52.08,52.08,1,1
i8_sve_nostore,i32,H2,64,512,512,1,416.0,40,344.87,52.25,52.25,1,1
i8_sve_noload,i32,H2,64,512,512,1,416.0,40,436.50,66.14,66.14,1,1
i8_sve_compute_only,i32,H2,64,512,512,1,416.0,40,514.57,77.96,77.96,1,1
i8_neon_full,i32,H2,64,512,512,1,416.0,40,413.63,62.67,62.67,1,1
i8_neon_nostore,i32,H2,64,512,512,1,416.0,40,426.27,64.59,64.59,1,1
i8_neon_noload,i32,H2,64,512,512,1,416.0,40,550.07,83.34,83.34,1,1
i8_neon_compute_only,i32,H2,64,512,512,1,416.0,40,331.74,50.26,50.26,1,1
i8_sve_full,i32,H2,64,512,512,2,416.0,40,586.65,88.89,44.44,1,1
i8_sve_nostore,i32,H2,64,512,512,2,416.0,40,586.99,88.94,44.47,1,1
i8_sve_noload,i32,H2,64,512,512,2,416.0,40,850.45,128.86,64.43,1,1
i8_sve_compute_only,i32,H2,64,512,512,2,416.0,40,1005.57,152.36,76.18,1,1
i8_neon_full,i32,H2,64,512,512,2,416.0,40,679.06,102.89,51.44,1,1
i8_neon_nostore,i32,H2,64,512,512,2,416.0,40,686.72,104.05,52.02,1,1
i8_neon_noload,i32,H2,64,512,512,2,416.0,40,1052.49,159.47,79.73,1,1
i8_neon_compute_only,i32,H2,64,512,512,2,416.0,40,651.12,98.66,49.33,1,1
i8_sve_full,i32,GT_L2,64,512,4096,2,3104.0,40,633.55,95.99,48.00,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,2,3104.0,40,630.31,95.50,47.75,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,2,3104.0,40,859.33,130.20,65.10,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,2,3104.0,40,1043.75,158.14,79.07,1,1
i8_neon_full,i32,GT_L2,64,512,4096,2,3104.0,40,540.36,81.87,40.94,1,1
i8_neon_nostore,i32,GT_L2,64,512,4096,2,3104.0,40,550.78,83.45,41.73,1,1
