variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
i8_sve_full,i32,H2,64,512,512,1,416.0,40,400.56,60.69,60.69,1,1
i8_sve_nostore,i32,H2,64,512,512,1,416.0,40,463.44,70.22,70.22,1,1
i8_sve_noload,i32,H2,64,512,512,1,416.0,40,435.98,66.06,66.06,1,1
i8_sve_compute_only,i32,H2,64,512,512,1,416.0,40,630.59,95.54,95.54,1,1
i8_neon_full,i32,H2,64,512,512,1,416.0,40,414.48,62.80,62.80,1,1
i8_neon_nostore,i32,H2,64,512,512,1,416.0,40,428.16,64.87,64.87,1,1
i8_neon_noload,i32,H2,64,512,512,1,416.0,40,545.88,82.71,82.71,1,1
i8_neon_compute_only,i32,H2,64,512,512,1,416.0,40,331.47,50.22,50.22,1,1
i8_sve_full,i32,H2,64,512,512,2,416.0,40,674.08,102.13,51.07,1,1
i8_sve_nostore,i32,H2,64,512,512,2,416.0,40,762.76,115.57,57.78,1,1
i8_sve_noload,i32,H2,64,512,512,2,416.0,40,852.08,129.10,64.55,1,1
i8_sve_compute_only,i32,H2,64,512,512,2,416.0,40,1216.88,184.38,92.19,1,1
i8_neon_full,i32,H2,64,512,512,2,416.0,40,680.57,103.12,51.56,1,1
i8_neon_nostore,i32,H2,64,512,512,2,416.0,40,687.18,104.12,52.06,1,1
i8_neon_noload,i32,H2,64,512,512,2,416.0,40,1054.34,159.75,79.87,1,1
i8_neon_compute_only,i32,H2,64,512,512,2,416.0,40,649.49,98.41,49.20,1,1
i8_sve_full,i32,GT_L2,64,512,4096,2,3104.0,40,661.89,100.29,50.14,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,2,3104.0,40,736.93,111.66,55.83,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,2,3104.0,40,858.98,130.15,65.07,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,2,3104.0,40,1251.56,189.63,94.81,1,1
i8_neon_full,i32,GT_L2,64,512,4096,2,3104.0,40,539.20,81.70,40.85,1,1
i8_neon_nostore,i32,GT_L2,64,512,4096,2,3104.0,40,551.56,83.57,41.78,1,1
i8_neon_noload,i32,GT_L2,64,512,4096,2,3104.0,40,958.54,145.23,72.62,1,1
i8_neon_compute_only,i32,GT_L2,64,512,4096,2,3104.0,40,659.39,99.91,49.95,1,1
i8_sve_full,i32,GT_L2,64,512,4096,4,3104.0,40,1237.49,187.50,46.87,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,4,3104.0,40,1367.27,207.16,51.79,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,4,3104.0,40,1457.83,220.88,55.22,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,4,3104.0,40,2000.74,303.14,75.79,1,1
i8_neon_full,i32,GT_L2,64,512,4096,4,3104.0,40,923.34,139.90,34.98,1,1
i8_neon_nostore,i32,GT_L2,64,512,4096,4,3104.0,40,959.89,145.44,36.36,1,1
i8_neon_noload,i32,GT_L2,64,512,4096,4,3104.0,40,1637.19,248.06,62.01,1,1
i8_neon_compute_only,i32,GT_L2,64,512,4096,4,3104.0,40,1321.15,200.17,50.04,1,1
i8_sve_full,i32,GT_L2,64,512,4096,8,3104.0,40,2360.23,357.61,44.70,1,1
i8_sve_nostore,i32,GT_L2,64,512,4096,8,3104.0,40,2585.25,391.71,48.96,1,1
i8_sve_noload,i32,GT_L2,64,512,4096,8,3104.0,40,2617.87,396.65,49.58,1,1
i8_sve_compute_only,i32,GT_L2,64,512,4096,8,3104.0,40,3456.04,523.64,65.46,1,1
i8_neon_full,i32,GT_L2,64,512,4096,8,3104.0,40,1664.22,252.15,31.52,1,1
i8_neon_nostore,i32,GT_L2,64,512,4096,8,3104.0,40,1785.87,270.59,33.82,1,1
i8_neon_noload,i32,GT_L2,64,512,4096,8,3104.0,40,2931.63,444.19,55.52,1,1
i8_neon_compute_only,i32,GT_L2,64,512,4096,8,3104.0,40,2615.28,396.26,49.53,1,1
i8_sve_full,i32,GT_L2,512,512,4096,4,10496.0,40,1329.08,201.38,50.34,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,4,10496.0,40,1752.07,265.47,66.37,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,4,10496.0,40,1605.10,243.20,60.80,1,1
i8_sve_compute_only,i32,GT_L2,512,512,4096,4,10496.0,40,2115.98,320.60,80.15,1,1
i8_neon_full,i32,GT_L2,512,512,4096,4,10496.0,40,745.11,112.90,28.22,1,1
i8_neon_nostore,i32,GT_L2,512,512,4096,4,10496.0,40,774.60,117.36,29.34,1,1
i8_neon_noload,i32,GT_L2,512,512,4096,4,10496.0,40,1600.00,242.42,60.61,1,1
i8_neon_compute_only,i32,GT_L2,512,512,4096,4,10496.0,40,1324.71,200.71,50.18,1,1
i8_sve_full,i32,GT_L2,512,512,4096,8,10496.0,40,2519.98,381.81,47.73,1,1
i8_sve_nostore,i32,GT_L2,512,512,4096,8,10496.0,40,3254.03,493.04,61.63,1,1
i8_sve_noload,i32,GT_L2,512,512,4096,8,10496.0,40,2915.57,441.75,55.22,1,1
