variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
sve_f32_batch1,f32,H2,16,512,128,1,152.0,10,270.23,81.89,81.89,1,1
sve_f32_batch4,f32,H2,16,512,128,1,608.0,10,254.54,77.13,77.13,1,4
sve_f32_batch16,f32,GT_L2,16,512,128,1,2432.0,10,234.35,71.01,71.01,1,16
neon_f32_batch1,f32,H2,16,512,128,1,152.0,10,168.95,51.20,51.20,1,1
neon_f32_batch4,f32,H2,16,512,128,1,608.0,10,165.97,50.29,50.29,1,4
neon_f32_batch16,f32,GT_L2,16,512,128,1,2432.0,10,159.68,48.39,48.39,1,16
sve_f32_batch1,f32,H2,16,512,128,2,152.0,10,435.92,132.10,66.05,1,1
sve_f32_batch4,f32,H2,16,512,128,2,608.0,10,366.74,111.13,55.57,1,4
sve_f32_batch16,f32,GT_L2,16,512,128,2,2432.0,10,311.20,94.30,47.15,1,16
neon_f32_batch1,f32,H2,16,512,128,2,152.0,10,293.02,88.79,44.40,1,1
neon_f32_batch4,f32,H2,16,512,128,2,608.0,10,290.69,88.09,44.04,1,4
neon_f32_batch16,f32,GT_L2,16,512,128,2,2432.0,10,276.12,83.67,41.84,1,16
sve_f32_batch1,f32,H2,16,512,128,4,152.0,10,445.80,135.09,33.77,1,1
sve_f32_batch4,f32,H2,16,512,128,4,608.0,10,359.33,108.89,27.22,1,4
sve_f32_batch16,f32,GT_L2,16,512,128,4,2432.0,10,323.18,97.93,24.48,1,16
neon_f32_batch1,f32,H2,16,512,128,4,152.0,10,301.40,91.33,22.83,1,1
neon_f32_batch4,f32,H2,16,512,128,4,608.0,10,297.03,90.01,22.50,1,4
neon_f32_batch16,f32,GT_L2,16,512,128,4,2432.0,10,279.11,84.58,21.14,1,16
sve_f32_batch1,f32,H2,16,512,128,8,152.0,10,440.01,133.34,16.67,1,1
sve_f32_batch4,f32,H2,16,512,128,8,608.0,10,399.22,120.98,15.12,1,4
sve_f32_batch16,f32,GT_L2,16,512,128,8,2432.0,10,312.52,94.70,11.84,1,16
neon_f32_batch1,f32,H2,16,512,128,8,152.0,10,286.56,86.84,10.85,1,1
neon_f32_batch4,f32,H2,16,512,128,8,608.0,10,280.02,84.85,10.61,1,4
neon_f32_batch16,f32,GT_L2,16,512,128,8,2432.0,10,268.92,81.49,10.19,1,16
sve_f32_batch1,f32,GT_L2,16,512,4096,2,4368.0,10,395.29,119.78,59.89,1,1
