variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
sve_compute_only,f32,H2,16,512,128,1,152.0,10,331.85,100.56,100.56,1,1
neon_compute_only,f32,H2,16,512,128,1,152.0,10,166.17,50.35,50.35,1,1
sve_full,f32,H2,16,512,128,1,152.0,10,269.84,81.77,81.77,1,1
sve_prepacked,f32,H2,16,512,128,1,152.0,10,292.14,88.53,88.53,1,1
sve_nostore,f32,H2,16,512,128,1,152.0,10,298.85,90.56,90.56,1,1
sve_noload,f32,H2,16,512,128,1,152.0,10,278.51,84.40,84.40,1,1
sve_f32,f32,H2,16,512,128,1,152.0,10,270.42,81.94,81.94,1,1
neon_f32,f32,H2,16,512,128,1,152.0,10,168.96,51.20,51.20,1,1
sve_compute_only,f32,H2,16,512,128,2,152.0,10,520.43,157.71,78.85,1,1
neon_compute_only,f32,H2,16,512,128,2,152.0,10,291.80,88.43,44.21,1,1
sve_full,f32,H2,16,512,128,2,152.0,10,439.29,133.12,66.56,1,1
sve_prepacked,f32,H2,16,512,128,2,152.0,10,472.75,143.26,71.63,1,1
sve_nostore,f32,H2,16,512,128,2,152.0,10,477.00,144.54,72.27,1,1
sve_noload,f32,H2,16,512,128,2,152.0,10,460.26,139.47,69.74,1,1
sve_f32,f32,H2,16,512,128,2,152.0,10,435.05,131.83,65.92,1,1
neon_f32,f32,H2,16,512,128,2,152.0,10,290.93,88.16,44.08,1,1
sve_compute_only,f32,H2,16,512,128,4,152.0,10,534.82,162.07,40.52,1,1
neon_compute_only,f32,H2,16,512,128,4,152.0,10,300.93,91.19,22.80,1,1
sve_full,f32,H2,16,512,128,4,152.0,10,460.94,139.68,34.92,1,1
sve_prepacked,f32,H2,16,512,128,4,152.0,10,477.24,144.62,36.15,1,1
sve_nostore,f32,H2,16,512,128,4,152.0,10,484.97,146.96,36.74,1,1
sve_noload,f32,H2,16,512,128,4,152.0,10,464.06,140.62,35.16,1,1
sve_f32,f32,H2,16,512,128,4,152.0,10,462.88,140.27,35.07,1,1
neon_f32,f32,H2,16,512,128,4,152.0,10,296.79,89.94,22.48,1,1
sve_compute_only,f32,H2,16,512,128,8,152.0,10,483.76,146.59,18.32,1,1
neon_compute_only,f32,H2,16,512,128,8,152.0,10,285.85,86.62,10.83,1,1
sve_full,f32,H2,16,512,128,8,152.0,10,411.75,124.77,15.60,1,1
sve_prepacked,f32,H2,16,512,128,8,152.0,10,453.88,137.54,17.19,1,1
sve_nostore,f32,H2,16,512,128,8,152.0,10,479.64,145.34,18.17,1,1
sve_noload,f32,H2,16,512,128,8,152.0,10,434.31,131.61,16.45,1,1
sve_f32,f32,H2,16,512,128,8,152.0,10,435.08,131.84,16.48,1,1
neon_f32,f32,H2,16,512,128,8,152.0,10,295.51,89.55,11.19,1,1
sve_compute_only,f32,GT_L2,16,512,4096,2,4368.0,10,650.72,197.19,98.59,1,1
neon_compute_only,f32,GT_L2,16,512,4096,2,4368.0,10,329.76,99.93,49.96,1,1
sve_full,f32,GT_L2,16,512,4096,2,4368.0,10,394.38,119.51,59.75,1,1
sve_prepacked,f32,GT_L2,16,512,4096,2,4368.0,10,394.87,119.66,59.83,1,1
sve_nostore,f32,GT_L2,16,512,4096,2,4368.0,10,403.09,122.15,61.07,1,1
sve_noload,f32,GT_L2,16,512,4096,2,4368.0,10,580.42,175.89,87.94,1,1
sve_f32,f32,GT_L2,16,512,4096,2,4368.0,10,395.81,119.94,59.97,1,1
neon_f32,f32,GT_L2,16,512,4096,2,4368.0,10,303.80,92.06,46.03,1,1
sve_compute_only,f32,GT_L2,16,512,4096,4,4368.0,10,655.41,198.61,49.65,1,1
neon_compute_only,f32,GT_L2,16,512,4096,4,4368.0,10,323.22,97.94,24.49,1,1
sve_full,f32,GT_L2,16,512,4096,4,4368.0,10,399.94,121.19,30.30,1,1
sve_prepacked,f32,GT_L2,16,512,4096,4,4368.0,10,401.52,121.67,30.42,1,1
sve_nostore,f32,GT_L2,16,512,4096,4,4368.0,10,437.68,132.63,33.16,1,1
sve_noload,f32,GT_L2,16,512,4096,4,4368.0,10,581.10,176.09,44.02,1,1
sve_f32,f32,GT_L2,16,512,4096,4,4368.0,10,400.03,121.22,30.31,1,1
neon_f32,f32,GT_L2,16,512,4096,4,4368.0,10,298.96,90.59,22.65,1,1
sve_compute_only,f32,GT_L2,16,512,4096,8,4368.0,10,654.36,198.29,24.79,1,1
neon_compute_only,f32,GT_L2,16,512,4096,8,4368.0,10,313.71,95.06,11.88,1,1
sve_full,f32,GT_L2,16,512,4096,8,4368.0,10,376.52,114.10,14.26,1,1
sve_prepacked,f32,GT_L2,16,512,4096,8,4368.0,10,384.06,116.38,14.55,1,1
sve_nostore,f32,GT_L2,16,512,4096,8,4368.0,10,418.17,126.72,15.84,1,1
sve_noload,f32,GT_L2,16,512,4096,8,4368.0,10,562.29,170.39,21.30,1,1
sve_f32,f32,GT_L2,16,512,4096,8,4368.0,10,382.56,115.93,14.49,1,1
neon_f32,f32,GT_L2,16,512,4096,8,4368.0,10,293.76,89.02,11.13,1,1
sve_compute_only,f32,L2,64,512,512,1,704.0,10,331.54,100.47,100.47,1,1
neon_compute_only,f32,L2,64,512,512,1,704.0,10,165.59,50.18,50.18,1,1
sve_full,f32,L2,64,512,512,1,704.0,10,265.97,80.60,80.60,1,1
sve_prepacked,f32,L2,64,512,512,1,704.0,10,264.41,80.12,80.12,1,1
sve_nostore,f32,L2,64,512,512,1,704.0,10,294.10,89.12,89.12,1,1
sve_noload,f32,L2,64,512,512,1,704.0,10,287.37,87.08,87.08,1,1
sve_f32,f32,L2,64,512,512,1,704.0,10,265.58,80.48,80.48,1,1
neon_f32,f32,L2,64,512,512,1,704.0,10,171.55,51.98,51.98,1,1
sve_compute_only,f32,L2,64,512,512,2,704.0,10,654.04,198.19,99.10,1,1
neon_compute_only,f32,L2,64,512,512,2,704.0,10,326.52,98.95,49.47,1,1
sve_full,f32,L2,64,512,512,2,704.0,10,445.42,134.98,67.49,1,1
sve_prepacked,f32,L2,64,512,512,2,704.0,10,454.27,137.66,68.83,1,1
sve_nostore,f32,L2,64,512,512,2,704.0,10,479.01,145.15,72.58,1,1
sve_noload,f32,L2,64,512,512,2,704.0,10,567.26,171.90,85.95,1,1
sve_f32,f32,L2,64,512,512,2,704.0,10,442.04,133.95,66.98,1,1
neon_f32,f32,L2,64,512,512,2,704.0,10,337.47,102.26,51.13,1,1
sve_compute_only,f32,L2,64,512,512,4,704.0,10,1094.47,331.66,82.91,1,1
neon_compute_only,f32,L2,64,512,512,4,704.0,10,653.65,198.08,49.52,1,1
sve_full,f32,L2,64,512,512,4,704.0,10,813.50,246.52,61.63,1,1
sve_prepacked,f32,L2,64,512,512,4,704.0,10,828.51,251.06,62.77,1,1
sve_nostore,f32,L2,64,512,512,4,704.0,10,869.80,263.58,65.89,1,1
sve_noload,f32,L2,64,512,512,4,704.0,10,1012.30,306.76,76.69,1,1
sve_f32,f32,L2,64,512,512,4,704.0,10,769.12,233.07,58.27,1,1
neon_f32,f32,L2,64,512,512,4,704.0,10,609.44,184.68,46.17,1,1
sve_compute_only,f32,L2,64,512,512,8,704.0,10,1962.99,594.85,74.36,1,1
neon_compute_only,f32,L2,64,512,512,8,704.0,10,1273.61,385.94,48.24,1,1
sve_full,f32,L2,64,512,512,8,704.0,10,1379.48,418.03,52.25,1,1
sve_prepacked,f32,L2,64,512,512,8,704.0,10,1426.79,432.36,54.05,1,1
sve_nostore,f32,L2,64,512,512,8,704.0,10,1497.03,453.65,56.71,1,1
sve_noload,f32,L2,64,512,512,8,704.0,10,1741.33,527.68,65.96,1,1
sve_f32,f32,L2,64,512,512,8,704.0,10,1386.06,420.02,52.50,1,1
neon_f32,f32,L2,64,512,512,8,704.0,10,1067.15,323.38,40.42,1,1
sve_compute_only,f32,GT_L2,64,512,4096,2,5184.0,10,661.09,200.33,100.16,1,1
neon_compute_only,f32,GT_L2,64,512,4096,2,5184.0,10,331.01,100.31,50.15,1,1
sve_full,f32,GT_L2,64,512,4096,2,5184.0,10,401.71,121.73,60.87,1,1
sve_prepacked,f32,GT_L2,64,512,4096,2,5184.0,10,400.76,121.44,60.72,1,1
sve_nostore,f32,GT_L2,64,512,4096,2,5184.0,10,426.66,129.29,64.65,1,1
sve_noload,f32,GT_L2,64,512,4096,2,5184.0,10,582.18,176.42,88.21,1,1
sve_f32,f32,GT_L2,64,512,4096,2,5184.0,10,403.32,122.22,61.11,1,1
neon_f32,f32,GT_L2,64,512,4096,2,5184.0,10,305.93,92.71,46.35,1,1
sve_compute_only,f32,GT_L2,64,512,4096,4,5184.0,10,1052.16,318.83,79.71,1,1
neon_compute_only,f32,GT_L2,64,512,4096,4,5184.0,10,659.84,199.95,49.99,1,1
sve_full,f32,GT_L2,64,512,4096,4,5184.0,10,656.94,199.07,49.77,1,1
sve_prepacked,f32,GT_L2,64,512,4096,4,5184.0,10,658.74,199.62,49.90,1,1
sve_nostore,f32,GT_L2,64,512,4096,4,5184.0,10,680.59,206.24,51.56,1,1
sve_noload,f32,GT_L2,64,512,4096,4,5184.0,10,957.00,290.00,72.50,1,1
sve_f32,f32,GT_L2,64,512,4096,4,5184.0,10,652.33,197.68,49.42,1,1
neon_f32,f32,GT_L2,64,512,4096,4,5184.0,10,551.55,167.14,41.78,1,1
sve_compute_only,f32,GT_L2,64,512,4096,8,5184.0,10,1804.70,546.88,68.36,1,1
neon_compute_only,f32,GT_L2,64,512,4096,8,5184.0,10,1318.61,399.58,49.95,1,1
sve_full,f32,GT_L2,64,512,4096,8,5184.0,10,1217.06,368.81,46.10,1,1
sve_prepacked,f32,GT_L2,64,512,4096,8,5184.0,10,1211.09,367.00,45.87,1,1
sve_nostore,f32,GT_L2,64,512,4096,8,5184.0,10,1226.30,371.61,46.45,1,1
sve_noload,f32,GT_L2,64,512,4096,8,5184.0,10,1725.18,522.78,65.35,1,1
sve_f32,f32,GT_L2,64,512,4096,8,5184.0,10,1212.42,367.40,45.92,1,1
neon_f32,f32,GT_L2,64,512,4096,8,5184.0,10,1040.24,315.23,39.40,1,1
sve_compute_only,f32,L2,64,4096,64,1,1040.0,10,331.47,100.45,100.45,1,1
neon_compute_only,f32,L2,64,4096,64,1,1040.0,10,165.62,50.19,50.19,1,1
sve_full,f32,L2,64,4096,64,1,1040.0,10,240.56,72.90,72.90,1,1
sve_prepacked,f32,L2,64,4096,64,1,1040.0,10,276.32,83.73,83.73,1,1
sve_nostore,f32,L2,64,4096,64,1,1040.0,10,231.04,70.01,70.01,1,1
sve_noload,f32,L2,64,4096,64,1,1040.0,10,278.98,84.54,84.54,1,1
sve_f32,f32,L2,64,4096,64,1,1040.0,10,239.42,72.55,72.55,1,1
neon_f32,f32,L2,64,4096,64,1,1040.0,10,156.67,47.48,47.48,1,1
sve_compute_only,f32,L2,64,4096,64,2,1040.0,10,654.05,198.20,99.10,1,1
neon_compute_only,f32,L2,64,4096,64,2,1040.0,10,326.19,98.85,49.42,1,1
sve_full,f32,L2,64,4096,64,2,1040.0,10,383.08,116.09,58.04,1,1
sve_prepacked,f32,L2,64,4096,64,2,1040.0,10,446.86,135.41,67.71,1,1
sve_nostore,f32,L2,64,4096,64,2,1040.0,10,400.89,121.48,60.74,1,1
sve_noload,f32,L2,64,4096,64,2,1040.0,10,564.41,171.03,85.52,1,1
sve_f32,f32,L2,64,4096,64,2,1040.0,10,392.90,119.06,59.53,1,1
neon_f32,f32,L2,64,4096,64,2,1040.0,10,281.67,85.35,42.68,1,1
sve_compute_only,f32,L2,64,4096,64,4,1040.0,10,1133.72,343.55,85.89,1,1
neon_compute_only,f32,L2,64,4096,64,4,1040.0,10,651.90,197.54,49.39,1,1
sve_full,f32,L2,64,4096,64,4,1040.0,10,707.76,214.47,53.62,1,1
sve_prepacked,f32,L2,64,4096,64,4,1040.0,10,813.90,246.64,61.66,1,1
sve_nostore,f32,L2,64,4096,64,4,1040.0,10,681.87,206.63,51.66,1,1
sve_noload,f32,L2,64,4096,64,4,1040.0,10,918.23,278.25,69.56,1,1
sve_f32,f32,L2,64,4096,64,4,1040.0,10,672.91,203.91,50.98,1,1
neon_f32,f32,L2,64,4096,64,4,1040.0,10,519.36,157.38,39.35,1,1
sve_compute_only,f32,L2,64,4096,64,8,1040.0,10,1982.09,600.63,75.08,1,1
neon_compute_only,f32,L2,64,4096,64,8,1040.0,10,1271.02,385.16,48.14,1,1
sve_full,f32,L2,64,4096,64,8,1040.0,10,1237.29,374.94,46.87,1,1
sve_prepacked,f32,L2,64,4096,64,8,1040.0,10,1324.14,401.25,50.16,1,1
sve_nostore,f32,L2,64,4096,64,8,1040.0,10,1230.34,372.83,46.60,1,1
sve_noload,f32,L2,64,4096,64,8,1040.0,10,1691.65,512.62,64.08,1,1
sve_f32,f32,L2,64,4096,64,8,1040.0,10,1198.45,363.17,45.40,1,1
neon_f32,f32,L2,64,4096,64,8,1040.0,10,953.02,288.79,36.10,1,1
sve_compute_only,f32,GT_L2,64,4096,1024,4,8960.0,10,1059.11,320.94,80.24,1,1
neon_compute_only,f32,GT_L2,64,4096,1024,4,8960.0,10,661.67,200.51,50.13,1,1
sve_full,f32,GT_L2,64,4096,1024,4,8960.0,10,646.97,196.05,49.01,1,1
sve_prepacked,f32,GT_L2,64,4096,1024,4,8960.0,10,652.80,197.82,49.45,1,1
sve_nostore,f32,GT_L2,64,4096,1024,4,8960.0,10,653.11,197.91,49.48,1,1
sve_noload,f32,GT_L2,64,4096,1024,4,8960.0,10,1034.18,313.39,78.35,1,1
sve_f32,f32,GT_L2,64,4096,1024,4,8960.0,10,646.92,196.04,49.01,1,1
neon_f32,f32,GT_L2,64,4096,1024,4,8960.0,10,508.67,154.14,38.54,1,1
sve_compute_only,f32,GT_L2,64,4096,1024,8,8960.0,10,1856.77,562.66,70.33,1,1
neon_compute_only,f32,GT_L2,64,4096,1024,8,8960.0,10,756.57,229.26,28.66,1,1
sve_full,f32,GT_L2,64,4096,1024,8,8960.0,10,999.89,303.00,37.87,1,1
sve_prepacked,f32,GT_L2,64,4096,1024,8,8960.0,10,712.80,216.00,27.00,1,1
sve_nostore,f32,GT_L2,64,4096,1024,8,8960.0,10,1009.88,306.02,38.25,1,1
sve_noload,f32,GT_L2,64,4096,1024,8,8960.0,10,1806.25,547.35,68.42,1,1
sve_f32,f32,GT_L2,64,4096,1024,8,8960.0,10,635.76,192.65,24.08,1,1
neon_f32,f32,GT_L2,64,4096,1024,8,8960.0,10,595.83,180.55,22.57,1,1
sve_compute_only,f32,GT_L2,128,4096,1024,4,9728.0,10,1058.63,320.80,80.20,1,1
neon_compute_only,f32,GT_L2,128,4096,1024,4,9728.0,10,662.54,200.77,50.19,1,1
sve_full,f32,GT_L2,128,4096,1024,4,9728.0,10,644.90,195.43,48.86,1,1
sve_prepacked,f32,GT_L2,128,4096,1024,4,9728.0,10,651.59,197.45,49.36,1,1
sve_nostore,f32,GT_L2,128,4096,1024,4,9728.0,10,650.14,197.01,49.25,1,1
sve_noload,f32,GT_L2,128,4096,1024,4,9728.0,10,1037.78,314.48,78.62,1,1
sve_f32,f32,GT_L2,128,4096,1024,4,9728.0,10,644.49,195.30,48.82,1,1
neon_f32,f32,GT_L2,128,4096,1024,4,9728.0,10,462.90,140.27,35.07,1,1
sve_compute_only,f32,GT_L2,128,4096,1024,8,9728.0,10,1103.18,334.30,41.79,1,1
neon_compute_only,f32,GT_L2,128,4096,1024,8,9728.0,10,759.92,230.28,28.78,1,1
sve_full,f32,GT_L2,128,4096,1024,8,9728.0,10,680.82,206.31,25.79,1,1
sve_prepacked,f32,GT_L2,128,4096,1024,8,9728.0,10,709.33,214.95,26.87,1,1
sve_nostore,f32,GT_L2,128,4096,1024,8,9728.0,10,741.09,224.57,28.07,1,1
sve_noload,f32,GT_L2,128,4096,1024,8,9728.0,10,1033.26,313.11,39.14,1,1
sve_f32,f32,GT_L2,128,4096,1024,8,9728.0,10,1217.87,369.05,46.13,1,1
neon_f32,f32,GT_L2,128,4096,1024,8,9728.0,10,904.46,274.08,34.26,1,1
sve_compute_only,f32,GT_L2,512,512,4096,4,12800.0,10,1058.45,320.74,80.19,1,1
neon_compute_only,f32,GT_L2,512,512,4096,4,12800.0,10,662.84,200.86,50.22,1,1
sve_full,f32,GT_L2,512,512,4096,4,12800.0,10,661.95,200.59,50.15,1,1
sve_prepacked,f32,GT_L2,512,512,4096,4,12800.0,10,665.02,201.52,50.38,1,1
sve_nostore,f32,GT_L2,512,512,4096,4,12800.0,10,691.92,209.67,52.42,1,1
sve_noload,f32,GT_L2,512,512,4096,4,12800.0,10,962.29,291.60,72.90,1,1
sve_f32,f32,GT_L2,512,512,4096,4,12800.0,10,661.92,200.58,50.15,1,1
neon_f32,f32,GT_L2,512,512,4096,4,12800.0,10,567.11,171.85,42.96,1,1
sve_compute_only,f32,GT_L2,512,512,4096,8,12800.0,10,1836.11,556.40,69.55,1,1
neon_compute_only,f32,GT_L2,512,512,4096,8,12800.0,10,1324.03,401.22,50.15,1,1
sve_full,f32,GT_L2,512,512,4096,8,12800.0,10,1235.37,374.35,46.79,1,1
sve_prepacked,f32,GT_L2,512,512,4096,8,12800.0,10,1233.32,373.73,46.72,1,1
sve_nostore,f32,GT_L2,512,512,4096,8,12800.0,10,1262.23,382.49,47.81,1,1
sve_noload,f32,GT_L2,512,512,4096,8,12800.0,10,1707.68,517.48,64.68,1,1
sve_f32,f32,GT_L2,512,512,4096,8,12800.0,10,812.41,246.18,30.77,1,1
neon_f32,f32,GT_L2,512,512,4096,8,12800.0,10,573.98,173.93,21.74,1,1
sve_compute_only,f32,GT_L2,512,4096,1024,4,14336.0,10,1059.67,321.11,80.28,1,1
neon_compute_only,f32,GT_L2,512,4096,1024,4,14336.0,10,663.11,200.94,50.24,1,1
sve_full,f32,GT_L2,512,4096,1024,4,14336.0,10,644.65,195.35,48.84,1,1
sve_prepacked,f32,GT_L2,512,4096,1024,4,14336.0,10,649.75,196.89,49.22,1,1
sve_nostore,f32,GT_L2,512,4096,1024,4,14336.0,10,648.16,196.41,49.10,1,1
sve_noload,f32,GT_L2,512,4096,1024,4,14336.0,10,1030.96,312.41,78.10,1,1
sve_f32,f32,GT_L2,512,4096,1024,4,14336.0,10,644.32,195.25,48.81,1,1
neon_f32,f32,GT_L2,512,4096,1024,4,14336.0,10,483.58,146.54,36.63,1,1
sve_compute_only,f32,GT_L2,512,4096,1024,8,14336.0,10,1821.91,552.09,69.01,1,1
neon_compute_only,f32,GT_L2,512,4096,1024,8,14336.0,10,1322.94,400.89,50.11,1,1
sve_full,f32,GT_L2,512,4096,1024,8,14336.0,10,1212.98,367.57,45.95,1,1
sve_prepacked,f32,GT_L2,512,4096,1024,8,14336.0,10,1223.68,370.81,46.35,1,1
sve_nostore,f32,GT_L2,512,4096,1024,8,14336.0,10,1221.19,370.06,46.26,1,1
sve_noload,f32,GT_L2,512,4096,1024,8,14336.0,10,1813.02,549.40,68.67,1,1
sve_f32,f32,GT_L2,512,4096,1024,8,14336.0,10,1214.72,368.10,46.01,1,1
neon_f32,f32,GT_L2,512,4096,1024,8,14336.0,10,912.39,276.48,34.56,1,1
sve_compute_only,f32,GT_L2,2048,4096,64,8,17408.0,10,1841.52,558.04,69.75,1,1
neon_compute_only,f32,GT_L2,2048,4096,64,8,17408.0,10,1315.63,398.68,49.83,1,1
sve_full,f32,GT_L2,2048,4096,64,8,17408.0,10,1230.18,372.78,46.60,1,1
sve_prepacked,f32,GT_L2,2048,4096,64,8,17408.0,10,1398.05,423.65,52.96,1,1
sve_nostore,f32,GT_L2,2048,4096,64,8,17408.0,10,1238.52,375.31,46.91,1,1
sve_noload,f32,GT_L2,2048,4096,64,8,17408.0,10,1535.33,465.25,58.16,1,1
sve_f32,f32,GT_L2,2048,4096,64,8,17408.0,10,1231.22,373.10,46.64,1,1
neon_f32,f32,GT_L2,2048,4096,64,8,17408.0,10,951.00,288.18,36.02,1,1
