variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
sve_f32_stride1,f32,H2,16,512,128,1,152.0,10,269.95,81.80,81.80,1,1
sve_f32_stride2,f32,H2,16,512,128,1,304.0,10,269.11,81.55,81.55,2,1
neon_f32_stride1,f32,H2,16,512,128,1,152.0,10,169.25,51.29,51.29,1,1
neon_f32_stride2,f32,H2,16,512,128,1,304.0,10,168.45,51.04,51.04,2,1
sve_f32_stride1,f32,H2,16,512,128,2,152.0,10,451.77,136.90,68.45,1,1
sve_f32_stride2,f32,H2,16,512,128,2,304.0,10,436.02,132.13,66.06,2,1
neon_f32_stride1,f32,H2,16,512,128,2,152.0,10,291.96,88.47,44.24,1,1
neon_f32_stride2,f32,H2,16,512,128,2,304.0,10,291.22,88.25,44.12,2,1
sve_f32_stride1,f32,H2,16,512,128,4,152.0,10,447.07,135.48,33.87,1,1
sve_f32_stride2,f32,H2,16,512,128,4,304.0,10,426.25,129.17,32.29,2,1
neon_f32_stride1,f32,H2,16,512,128,4,152.0,10,296.49,89.85,22.46,1,1
neon_f32_stride2,f32,H2,16,512,128,4,304.0,10,301.03,91.22,22.81,2,1
sve_f32_stride1,f32,H2,16,512,128,8,152.0,10,401.02,121.52,15.19,1,1
sve_f32_stride2,f32,H2,16,512,128,8,304.0,10,402.31,121.91,15.24,2,1
neon_f32_stride1,f32,H2,16,512,128,8,152.0,10,286.30,86.76,10.84,1,1
neon_f32_stride2,f32,H2,16,512,128,8,304.0,10,281.45,85.29,10.66,2,1
sve_f32_stride1,f32,GT_L2,16,512,4096,2,4368.0,10,389.58,118.05,59.03,1,1
sve_f32_stride2,f32,GT_L2,16,512,4096,2,8736.0,10,397.96,120.59,60.30,2,1
neon_f32_stride1,f32,GT_L2,16,512,4096,2,4368.0,10,314.93,95.43,47.72,1,1
neon_f32_stride2,f32,GT_L2,16,512,4096,2,8736.0,10,294.65,89.29,44.64,2,1
sve_f32_stride1,f32,GT_L2,16,512,4096,4,4368.0,10,391.67,118.69,29.67,1,1
sve_f32_stride2,f32,GT_L2,16,512,4096,4,8736.0,10,395.59,119.87,29.97,2,1
neon_f32_stride1,f32,GT_L2,16,512,4096,4,4368.0,10,303.28,91.90,22.98,1,1
neon_f32_stride2,f32,GT_L2,16,512,4096,4,8736.0,10,297.27,90.08,22.52,2,1
sve_f32_stride1,f32,GT_L2,16,512,4096,8,4368.0,10,386.51,117.12,14.64,1,1
sve_f32_stride2,f32,GT_L2,16,512,4096,8,8736.0,10,386.56,117.14,14.64,2,1
neon_f32_stride1,f32,GT_L2,16,512,4096,8,4368.0,10,291.30,88.27,11.03,1,1
neon_f32_stride2,f32,GT_L2,16,512,4096,8,8736.0,10,281.17,85.20,10.65,2,1
sve_f32_stride1,f32,L2,64,512,512,1,704.0,10,257.63,78.07,78.07,1,1
sve_f32_stride2,f32,GT_L2,64,512,512,1,1408.0,10,252.49,76.51,76.51,2,1
neon_f32_stride1,f32,L2,64,512,512,1,704.0,10,170.49,51.66,51.66,1,1
neon_f32_stride2,f32,GT_L2,64,512,512,1,1408.0,10,162.59,49.27,49.27,2,1
sve_f32_stride1,f32,L2,64,512,512,2,704.0,10,434.75,131.74,65.87,1,1
sve_f32_stride2,f32,GT_L2,64,512,512,2,1408.0,10,437.75,132.65,66.33,2,1
neon_f32_stride1,f32,L2,64,512,512,2,704.0,10,339.47,102.87,51.43,1,1
neon_f32_stride2,f32,GT_L2,64,512,512,2,1408.0,10,325.12,98.52,49.26,2,1
sve_f32_stride1,f32,L2,64,512,512,4,704.0,10,801.97,243.02,60.75,1,1
sve_f32_stride2,f32,GT_L2,64,512,512,4,1408.0,10,819.96,248.47,62.12,2,1
neon_f32_stride1,f32,L2,64,512,512,4,704.0,10,612.90,185.73,46.43,1,1
neon_f32_stride2,f32,GT_L2,64,512,512,4,1408.0,10,581.36,176.17,44.04,2,1
sve_f32_stride1,f32,L2,64,512,512,8,704.0,10,1405.97,426.05,53.26,1,1
sve_f32_stride2,f32,GT_L2,64,512,512,8,1408.0,10,1388.41,420.73,52.59,2,1
neon_f32_stride1,f32,L2,64,512,512,8,704.0,10,1082.26,327.96,40.99,1,1
neon_f32_stride2,f32,GT_L2,64,512,512,8,1408.0,10,1058.00,320.61,40.08,2,1
sve_f32_stride1,f32,GT_L2,64,512,4096,2,5184.0,10,400.75,121.44,60.72,1,1
sve_f32_stride2,f32,GT_L2,64,512,4096,2,10368.0,10,403.53,122.28,61.14,2,1
neon_f32_stride1,f32,GT_L2,64,512,4096,2,5184.0,10,304.12,92.16,46.08,1,1
neon_f32_stride2,f32,GT_L2,64,512,4096,2,10368.0,10,296.21,89.76,44.88,2,1
sve_f32_stride1,f32,GT_L2,64,512,4096,4,5184.0,10,658.70,199.60,49.90,1,1
sve_f32_stride2,f32,GT_L2,64,512,4096,4,10368.0,10,654.87,198.44,49.61,2,1
neon_f32_stride1,f32,GT_L2,64,512,4096,4,5184.0,10,554.84,168.13,42.03,1,1
neon_f32_stride2,f32,GT_L2,64,512,4096,4,10368.0,10,521.48,158.02,39.51,2,1
sve_f32_stride1,f32,GT_L2,64,512,4096,8,5184.0,10,1225.55,371.38,46.42,1,1
sve_f32_stride2,f32,GT_L2,64,512,4096,8,10368.0,10,1218.25,369.17,46.15,2,1
neon_f32_stride1,f32,GT_L2,64,512,4096,8,5184.0,10,1036.10,313.97,39.25,1,1
neon_f32_stride2,f32,GT_L2,64,512,4096,8,10368.0,10,938.78,284.48,35.56,2,1
sve_f32_stride1,f32,L2,64,4096,64,1,1040.0,10,242.45,73.47,73.47,1,1
sve_f32_stride2,f32,GT_L2,64,4096,64,1,2080.0,10,227.18,68.84,68.84,2,1
neon_f32_stride1,f32,L2,64,4096,64,1,1040.0,10,155.53,47.13,47.13,1,1
neon_f32_stride2,f32,GT_L2,64,4096,64,1,2080.0,10,148.98,45.15,45.15,2,1
sve_f32_stride1,f32,L2,64,4096,64,2,1040.0,10,397.73,120.53,60.26,1,1
sve_f32_stride2,f32,GT_L2,64,4096,64,2,2080.0,10,375.10,113.67,56.83,2,1
neon_f32_stride1,f32,L2,64,4096,64,2,1040.0,10,297.24,90.07,45.04,1,1
neon_f32_stride2,f32,GT_L2,64,4096,64,2,2080.0,10,298.12,90.34,45.17,2,1
sve_f32_stride1,f32,L2,64,4096,64,4,1040.0,10,729.33,221.01,55.25,1,1
sve_f32_stride2,f32,GT_L2,64,4096,64,4,2080.0,10,681.99,206.66,51.67,2,1
neon_f32_stride1,f32,L2,64,4096,64,4,1040.0,10,519.34,157.38,39.34,1,1
neon_f32_stride2,f32,GT_L2,64,4096,64,4,2080.0,10,519.32,157.37,39.34,2,1
sve_f32_stride1,f32,L2,64,4096,64,8,1040.0,10,1247.79,378.12,47.26,1,1
sve_f32_stride2,f32,GT_L2,64,4096,64,8,2080.0,10,1168.36,354.05,44.26,2,1
neon_f32_stride1,f32,L2,64,4096,64,8,1040.0,10,963.97,292.11,36.51,1,1
neon_f32_stride2,f32,GT_L2,64,4096,64,8,2080.0,10,913.18,276.72,34.59,2,1
sve_f32_stride1,f32,GT_L2,64,4096,1024,4,8960.0,10,648.37,196.48,49.12,1,1
sve_f32_stride2,f32,GT_L2,64,4096,1024,4,17920.0,10,645.90,195.73,48.93,2,1
neon_f32_stride1,f32,GT_L2,64,4096,1024,4,8960.0,10,499.12,151.25,37.81,1,1
neon_f32_stride2,f32,GT_L2,64,4096,1024,4,17920.0,10,487.62,147.76,36.94,2,1
sve_f32_stride1,f32,GT_L2,64,4096,1024,8,8960.0,10,1208.75,366.29,45.79,1,1
sve_f32_stride2,f32,GT_L2,64,4096,1024,8,17920.0,10,1216.67,368.69,46.09,2,1
neon_f32_stride1,f32,GT_L2,64,4096,1024,8,8960.0,10,928.29,281.30,35.16,1,1
neon_f32_stride2,f32,GT_L2,64,4096,1024,8,17920.0,10,917.13,277.92,34.74,2,1
sve_f32_stride1,f32,GT_L2,128,4096,1024,4,9728.0,10,644.34,195.25,48.81,1,1
sve_f32_stride2,f32,GT_L2,128,4096,1024,4,19456.0,10,642.03,194.55,48.64,2,1
neon_f32_stride1,f32,GT_L2,128,4096,1024,4,9728.0,10,479.14,145.19,36.30,1,1
neon_f32_stride2,f32,GT_L2,128,4096,1024,4,19456.0,10,453.39,137.39,34.35,2,1
sve_f32_stride1,f32,GT_L2,128,4096,1024,8,9728.0,10,1213.81,367.82,45.98,1,1
sve_f32_stride2,f32,GT_L2,128,4096,1024,8,19456.0,10,1189.35,360.41,45.05,2,1
neon_f32_stride1,f32,GT_L2,128,4096,1024,8,9728.0,10,934.92,283.31,35.41,1,1
neon_f32_stride2,f32,GT_L2,128,4096,1024,8,19456.0,10,909.64,275.65,34.46,2,1
sve_f32_stride1,f32,GT_L2,512,512,4096,4,12800.0,10,662.41,200.73,50.18,1,1
sve_f32_stride2,f32,GT_L2,512,512,4096,4,25600.0,10,660.52,200.16,50.04,2,1
neon_f32_stride1,f32,GT_L2,512,512,4096,4,12800.0,10,567.78,172.06,43.01,1,1
neon_f32_stride2,f32,GT_L2,512,512,4096,4,25600.0,10,451.84,136.92,34.23,2,1
sve_f32_stride1,f32,GT_L2,512,512,4096,8,12800.0,10,1224.28,370.99,46.37,1,1
sve_f32_stride2,f32,GT_L2,512,512,4096,8,25600.0,10,1246.44,377.71,47.21,2,1
