shape,threads,mode,reps,perf
64x512x512,1,auto,20,471.85
64x512x512,1,2d,20,468.40
64x512x512,2,auto,20,786.60
64x512x512,2,2d,20,733.87
64x512x512,4,auto,20,1302.71
64x512x512,4,2d,20,1159.09
64x512x512,8,auto,20,2182.35
64x512x512,8,2d,20,1879.34
128x512x1024,1,auto,20,444.12
128x512x1024,1,2d,20,441.57
128x512x1024,2,auto,20,761.80
128x512x1024,2,2d,20,759.29
128x512x1024,4,auto,20,917.38
128x512x1024,4,2d,20,879.02
128x512x1024,8,auto,20,660.68
128x512x1024,8,2d,20,695.67
512x1024x1024,1,auto,8,378.41
512x1024x1024,1,2d,8,367.63
512x1024x1024,2,auto,8,746.17
512x1024x1024,2,2d,8,749.13
512x1024x1024,4,auto,8,1338.23
512x1024x1024,4,2d,8,1341.96
512x1024x1024,8,auto,8,2296.74
512x1024x1024,8,2d,8,2197.46
2048x4096x8192,1,auto,3,297.56
2048x4096x8192,1,2d,3,298.22
2048x4096x8192,2,auto,3,597.45
2048x4096x8192,2,2d,3,598.18
2048x4096x8192,4,auto,3,1049.65
2048x4096x8192,4,2d,3,1050.58
2048x4096x8192,8,auto,3,1876.37
2048x4096x8192,8,2d,3,1813.44
