lib,impl,dtype,M,K,N,threads,reps,perf,note
i8gemm,i8gemm_neon_k_ld,i8,64,512,512,1,20,418.74,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,64,512,512,1,20,522.612,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,64,512,512,1,20,420.255,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,64,512,512,2,20,697.08,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,64,512,512,2,20,841.040,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,64,512,512,2,20,673.723,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,64,512,512,4,20,1216.98,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
acl,acl_auto,i8,64,512,512,4,20,1430.055,prepare outside timing; selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_i8_neon_i8mm,i8,64,512,512,4,20,1273.489,LHS/RHS pack outside timing; fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_neon_k_ld,i8,64,512,512,8,20,2200.64,Bpack outside; A raw row-major; k_ld writes/uses A_reorder inside kernel
