variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
i8_sve_full,i32,H2,64,128,256,1,104.0,60,276.26,41.86,41.86,1,1
i8_sve_nostore,i32,H2,64,128,256,1,104.0,60,275.84,41.79,41.79,1,1
i8_sve_noload,i32,H2,64,128,256,1,104.0,60,286.82,43.46,43.46,1,1
i8_sve_compute_only,i32,H2,64,128,256,1,104.0,60,505.57,76.60,76.60,1,1
i8_sve_full,i32,H2,64,256,256,1,144.0,60,363.27,55.04,55.04,1,1
i8_sve_nostore,i32,H2,64,256,256,1,144.0,60,365.20,55.33,55.33,1,1
i8_sve_noload,i32,H2,64,256,256,1,144.0,60,369.71,56.02,56.02,1,1
i8_sve_compute_only,i32,H2,64,256,256,1,144.0,60,535.38,81.12,81.12,1,1
i8_sve_full,i32,H2,64,512,256,1,224.0,60,454.18,68.82,68.82,1,1
i8_sve_nostore,i32,H2,64,512,256,1,224.0,60,453.64,68.73,68.73,1,1
i8_sve_noload,i32,H2,64,512,256,1,224.0,60,464.05,70.31,70.31,1,1
i8_sve_compute_only,i32,H2,64,512,256,1,224.0,60,567.70,86.01,86.01,1,1
i8_sve_full,i32,H2,64,1024,256,1,384.0,60,520.21,78.82,78.82,1,1
i8_sve_nostore,i32,H2,64,1024,256,1,384.0,60,520.98,78.94,78.94,1,1
i8_sve_noload,i32,H2,64,1024,256,1,384.0,60,525.95,79.69,79.69,1,1
i8_sve_compute_only,i32,H2,64,1024,256,1,384.0,60,587.11,88.96,88.96,1,1
i8_sve_full,i32,L2,64,2048,256,1,704.0,60,556.26,84.28,84.28,1,1
i8_sve_nostore,i32,L2,64,2048,256,1,704.0,60,543.88,82.41,82.41,1,1
i8_sve_noload,i32,L2,64,2048,256,1,704.0,60,564.29,85.50,85.50,1,1
i8_sve_compute_only,i32,L2,64,2048,256,1,704.0,60,597.87,90.59,90.59,1,1
i8_sve_full,i32,GT_L2,64,4096,256,1,1344.0,60,527.82,79.97,79.97,1,1
i8_sve_nostore,i32,GT_L2,64,4096,256,1,1344.0,60,541.93,82.11,82.11,1,1
i8_sve_noload,i32,GT_L2,64,4096,256,1,1344.0,60,578.53,87.66,87.66,1,1
i8_sve_compute_only,i32,GT_L2,64,4096,256,1,1344.0,60,601.39,91.12,91.12,1,1
i8_sve_full,i32,L1,64,512,64,1,80.0,60,471.51,71.44,71.44,1,1
i8_sve_nostore,i32,L1,64,512,64,1,80.0,60,471.66,71.46,71.46,1,1
i8_sve_noload,i32,L1,64,512,64,1,80.0,60,464.99,70.45,70.45,1,1
i8_sve_compute_only,i32,L1,64,512,64,1,80.0,60,578.46,87.65,87.65,1,1
i8_sve_full,i32,L2,64,512,1024,1,800.0,60,431.83,65.43,65.43,1,1
i8_sve_nostore,i32,L2,64,512,1024,1,800.0,60,437.51,66.29,66.29,1,1
i8_sve_noload,i32,L2,64,512,1024,1,800.0,60,460.50,69.77,69.77,1,1
i8_sve_compute_only,i32,L2,64,512,1024,1,800.0,60,565.71,85.71,85.71,1,1
i8_sve_full,i32,GT_L2,256,2048,512,1,2048.0,60,515.56,78.12,78.12,1,1
i8_sve_nostore,i32,GT_L2,256,2048,512,1,2048.0,60,534.56,80.99,80.99,1,1
i8_sve_noload,i32,GT_L2,256,2048,512,1,2048.0,60,559.29,84.74,84.74,1,1
i8_sve_compute_only,i32,GT_L2,256,2048,512,1,2048.0,60,594.99,90.15,90.15,1,1
i8_sve_full,i32,H2,256,256,256,1,384.0,60,363.73,55.11,55.11,1,1
i8_sve_nostore,i32,H2,256,256,256,1,384.0,60,363.31,55.05,55.05,1,1
i8_sve_noload,i32,H2,256,256,256,1,384.0,60,369.41,55.97,55.97,1,1
i8_sve_compute_only,i32,H2,256,256,256,1,384.0,60,532.72,80.72,80.72,1,1
