variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads
sve_compute_only,f32,GT_L2,16,512,4096,1,4368.0,20,190.14,57.62,57.62
neon_compute_only,f32,GT_L2,16,512,4096,1,4368.0,20,92.66,28.08,28.08
sve_full,f32,GT_L2,16,512,4096,1,4368.0,20,148.07,44.87,44.87
sve_prepacked,f32,GT_L2,16,512,4096,1,4368.0,20,121.14,36.71,36.71
sve_nozero,f32,GT_L2,16,512,4096,1,4368.0,20,147.93,44.83,44.83
sve_nostore,f32,GT_L2,16,512,4096,1,4368.0,20,107.13,32.46,32.46
sve_noload,f32,GT_L2,16,512,4096,1,4368.0,20,156.01,47.27,47.27
sve_nozero_nostore,f32,GT_L2,16,512,4096,1,4368.0,20,156.84,47.53,47.53
sve_noload_nostore,f32,GT_L2,16,512,4096,1,4368.0,20,188.98,57.27,57.27
sve_f32,f32,GT_L2,16,512,4096,1,4368.0,20,111.04,33.65,33.65
sve_bf16,bf16,GT_L2,16,512,4096,1,4240.0,20,148.53,45.01,45.01
sve_bias,bias,GT_L2,16,512,4096,1,4384.0,20,145.59,44.12,44.12
neon_f32,f32,GT_L2,16,512,4096,1,4368.0,20,89.70,27.18,27.18
neon_bf16,bf16,GT_L2,16,512,4096,1,4240.0,20,84.22,25.52,25.52
neon_bias,bias,GT_L2,16,512,4096,1,4384.0,20,89.33,27.07,27.07
sve_compute_only,f32,GT_L2,16,512,4096,8,4368.0,20,647.41,196.18,24.52
neon_compute_only,f32,GT_L2,16,512,4096,8,4368.0,20,85.11,25.79,3.22
sve_full,f32,GT_L2,16,512,4096,8,4368.0,20,85.77,25.99,3.25
sve_prepacked,f32,GT_L2,16,512,4096,8,4368.0,20,84.70,25.67,3.21
sve_nozero,f32,GT_L2,16,512,4096,8,4368.0,20,83.91,25.43,3.18
sve_nostore,f32,GT_L2,16,512,4096,8,4368.0,20,85.31,25.85,3.23
sve_noload,f32,GT_L2,16,512,4096,8,4368.0,20,571.74,173.26,21.66
sve_nozero_nostore,f32,GT_L2,16,512,4096,8,4368.0,20,84.99,25.75,3.22
sve_noload_nostore,f32,GT_L2,16,512,4096,8,4368.0,20,648.62,196.55,24.57
sve_f32,f32,GT_L2,16,512,4096,8,4368.0,20,363.69,110.21,13.78
sve_bf16,bf16,GT_L2,16,512,4096,8,4240.0,20,358.87,108.75,13.59
sve_bias,bias,GT_L2,16,512,4096,8,4384.0,20,105.08,31.84,3.98
neon_f32,f32,GT_L2,16,512,4096,8,4368.0,20,289.91,87.85,10.98
neon_bf16,bf16,GT_L2,16,512,4096,8,4240.0,20,83.90,25.42,3.18
neon_bias,bias,GT_L2,16,512,4096,8,4384.0,20,299.34,90.71,11.34
sve_compute_only,f32,GT_L2,64,512,4096,1,5184.0,20,177.46,53.78,53.78
neon_compute_only,f32,GT_L2,64,512,4096,1,5184.0,20,95.92,29.07,29.07
sve_full,f32,GT_L2,64,512,4096,1,5184.0,20,133.27,40.39,40.39
sve_prepacked,f32,GT_L2,64,512,4096,1,5184.0,20,133.29,40.39,40.39
sve_nozero,f32,GT_L2,64,512,4096,1,5184.0,20,136.88,41.48,41.48
sve_nostore,f32,GT_L2,64,512,4096,1,5184.0,20,156.23,47.34,47.34
sve_noload,f32,GT_L2,64,512,4096,1,5184.0,20,155.84,47.22,47.22
sve_nozero_nostore,f32,GT_L2,64,512,4096,1,5184.0,20,157.13,47.61,47.61
