lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
i8gemm,i8gemm_sve,bf16,L1,16,128,128,1,44.0,50,131.28,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,128,1,26.0,50,144.34,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,128,1,44.0,50,154.61,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,128,1,26.0,50,282.54,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,128,1,26.0,50,176.17,ok,
acl,acl_auto,bf16,L1,16,128,128,1,44.0,50,217.981,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,128,1,26.0,50,372.094,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,128,1,45.5,50,176.384,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,128,1,27.6,50,168.409,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L1,16,128,128,2,44.0,50,116.27,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,128,2,26.0,50,118.34,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,128,2,44.0,50,205.49,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,128,2,26.0,50,275.61,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,128,2,26.0,50,163.03,ok,
acl,acl_auto,bf16,L1,16,128,128,2,44.0,50,164.344,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,128,2,26.0,50,225.611,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,128,2,45.5,50,207.433,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,128,2,27.6,50,146.638,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L1,16,128,128,4,44.0,50,141.02,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,128,4,26.0,50,117.74,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,128,4,44.0,50,261.70,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,128,4,26.0,50,210.08,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,128,4,26.0,50,177.64,ok,
acl,acl_auto,bf16,L1,16,128,128,4,44.0,50,188.243,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,128,4,26.0,50,245.343,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,128,4,45.5,50,200.952,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,128,4,27.6,50,142.418,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L1,16,128,128,8,44.0,50,143.44,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,128,8,26.0,50,121.09,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,128,8,44.0,50,264.72,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,128,8,26.0,50,209.05,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,128,8,26.0,50,166.22,ok,
acl,acl_auto,bf16,L1,16,128,128,8,44.0,50,211.456,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,128,8,26.0,50,247.061,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,128,8,45.5,50,189.562,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,128,8,27.6,50,137.528,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L2,64,512,512,1,704.0,20,252.01,ok,
i8gemm,i8gemm_sve,i8,H2,64,512,512,1,416.0,20,474.74,ok,
i8gemm,i8gemm_neon,bf16,L2,64,512,512,1,704.0,20,169.89,ok,
i8gemm,i8gemm_neon,i8,H2,64,512,512,1,416.0,20,471.69,ok,
