lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
i8gemm,i8gemm_sve,bf16,L1,16,128,128,1,44.0,1,30.47,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,128,1,26.0,1,40.22,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,128,1,44.0,1,41.60,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,128,1,26.0,1,55.45,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,128,1,26.0,1,45.25,ok,
acl,acl_auto,bf16,L1,16,128,128,1,44.0,1,38.296,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,128,1,26.0,1,36.442,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,128,1,45.5,1,68.854,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,128,1,27.6,1,71.915,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L1,16,128,128,2,44.0,1,5.65,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,128,2,26.0,1,6.42,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,128,2,44.0,1,6.99,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,128,2,26.0,1,7.42,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,128,2,26.0,1,7.47,ok,
