lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
i8gemm,i8gemm_sve,bf16,L1,16,128,64,1,24.0,50,106.53,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,64,1,14.0,50,308.54,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,64,1,24.0,50,132.79,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,64,1,14.0,50,187.07,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,64,1,14.0,50,120.53,ok,
acl,acl_auto,bf16,L1,16,128,64,1,24.0,50,206.941,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,64,1,14.0,50,290.812,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,64,1,26.3,50,126.412,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,64,1,14.9,50,113.588,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L1,16,128,64,8,24.0,50,80.63,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,64,8,14.0,50,308.91,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,64,8,24.0,50,146.51,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,64,8,14.0,50,154.31,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,64,8,14.0,50,82.88,ok,
acl,acl_auto,bf16,L1,16,128,64,8,24.0,50,130.437,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,64,8,14.0,50,149.590,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,64,8,26.3,50,128.689,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,64,8,14.9,50,87.829,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L1,16,128,256,1,84.0,50,170.02,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,256,1,50.0,50,338.42,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,256,1,84.0,50,176.17,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,256,1,50.0,50,347.91,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,256,1,50.0,50,217.02,ok,
acl,acl_auto,bf16,L1,16,128,256,1,84.0,50,229.400,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,256,1,50.0,50,413.056,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,256,1,87.0,50,198.318,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,256,1,53.1,50,219.907,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,L1,16,128,256,8,84.0,50,264.48,ok,
i8gemm,i8gemm_sve,i8,L1,16,128,256,8,50.0,50,399.43,ok,
i8gemm,i8gemm_neon,bf16,L1,16,128,256,8,84.0,50,473.30,ok,
i8gemm,i8gemm_neon,i8,L1,16,128,256,8,50.0,50,379.64,ok,
i8gemm,i8gemm_neon_m16n4,i8,L1,16,128,256,8,50.0,50,299.62,ok,
acl,acl_auto,bf16,L1,16,128,256,8,84.0,50,311.540,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,L1,16,128,256,8,50.0,50,394.766,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,L1,16,128,256,8,87.0,50,248.526,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,L1,16,128,256,8,53.1,50,191.199,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,H2,16,128,1024,1,324.0,50,189.83,ok,
i8gemm,i8gemm_sve,i8,H2,16,128,1024,1,194.0,50,379.24,ok,
i8gemm,i8gemm_neon,bf16,H2,16,128,1024,1,324.0,50,199.48,ok,
i8gemm,i8gemm_neon,i8,H2,16,128,1024,1,194.0,50,400.55,ok,
i8gemm,i8gemm_neon_m16n4,i8,H2,16,128,1024,1,194.0,50,262.49,ok,
acl,acl_auto,bf16,H2,16,128,1024,1,324.0,50,225.819,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,H2,16,128,1024,1,194.0,50,415.222,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,H2,16,128,1024,1,330.0,50,212.559,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,H2,16,128,1024,1,206.1,50,278.999,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,H2,16,128,1024,8,324.0,50,649.49,ok,
i8gemm,i8gemm_sve,i8,H2,16,128,1024,8,194.0,50,472.67,ok,
i8gemm,i8gemm_neon,bf16,H2,16,128,1024,8,324.0,50,840.34,ok,
i8gemm,i8gemm_neon,i8,H2,16,128,1024,8,194.0,50,1027.18,ok,
i8gemm,i8gemm_neon_m16n4,i8,H2,16,128,1024,8,194.0,50,804.19,ok,
acl,acl_auto,bf16,H2,16,128,1024,8,324.0,50,654.378,ok,selected=sve_hybrid_bf16fp32_mmla_6x4VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,H2,16,128,1024,8,194.0,50,1047.659,ok,selected=sve_hybrid_s8s32_mmla_6x4VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,H2,16,128,1024,8,330.0,50,340.218,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,H2,16,128,1024,8,206.1,50,264.098,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,16,128,4096,1,1284.0,50,190.91,ok,
i8gemm,i8gemm_sve,i8,L2,16,128,4096,1,770.0,50,400.11,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,16,128,4096,1,1284.0,50,196.15,ok,
i8gemm,i8gemm_neon,i8,L2,16,128,4096,1,770.0,50,400.71,ok,
i8gemm,i8gemm_neon_m16n4,i8,L2,16,128,4096,1,770.0,50,268.59,ok,
