m,n,k
2048,4096,2048
2048,4096,512
2048,2048,4096
64,640,512
2048,1024,4096
64,512,640
2048,1536,4096
64,512,128
1993,4096,512
64,512,256
2048,1024,4096
1,1024,4096
1996,4096,512
1543,4096,512
1331,4096,512
1986,4096,512
64,128,512
1,4096,512
767,4096,512
2048,8192,1024
1938,4096,512
1446,4096,512
1342,4096,512
2048,512,4096
1509,4096,512
669,4096,512
64,256,512
722,4096,512
26,4096,512
1032,4096,512
1393,4096,512
1516,4096,512
1970,4096,512
57,4096,512
977,4096,512
1317,4096,512
104,4096,512
28,4096,512
1952,4096,512
1309,4096,512
30,4096,512
60,4096,512
1395,4096,512
67,4096,512
858,4096,512
22,4096,512
65,4096,512
23,4096,512
1015,4096,512
1315,4096,512
932,4096,512
19,4096,512
233,4096,512
1285,4096,512
43,4096,512
36,4096,512
96,4096,512
1968,4096,512
17,4096,512
21,4096,512
1305,4096,512
24,4096,512
908,4096,512
45,4096,512
54,4096,512
957,4096,512
39,4096,512
33,4096,512
876,4096,512
821,4096,512
18,4096,512
14,4096,512
34,4096,512
1988,4096,512
148,4096,512
53,4096,512
38,4096,512
32,4096,512
761,4096,512
906,4096,512
29,4096,512
1280,4096,512
615,4096,512
815,4096,512
31,4096,512
829,4096,512
826,4096,512
20,4096,512
302,4096,512
55,4096,512
27,4096,512
260,4096,512
12,4096,512
37,4096,512
417,4096,512
69,4096,512
44,4096,512
1013,4096,512
59,4096,512
117,4096,512
790,4096,512
145,4096,512
25,4096,512
620,4096,512
82,4096,512
42,4096,512
783,4096,512
11,4096,512
109,4096,512
658,4096,512
41,4096,512
1993,1024,4096
1995,1024,4096
161,4096,512
1002,4096,512
85,4096,512
79,4096,512
4,4096,4
64,4096,512
862,4096,512
87,4096,512
369,4096,512
77,4096,512
662,4096,512
56,4096,512
35,4096,512
10,4096,512
716,4096,512
138,4096,512
171,4096,512
98,4096,512
58,4096,512
898,4096,512
46,4096,512
92,4096,512
1412,4096,512
781,4096,512
74,4096,512
402,4096,512
71,4096,512
1970,1024,4096
13,4096,512
860,4096,512
1906,4096,512
666,4096,512
51,4096,512
981,4096,512
15,4096,512
818,4096,512
121,4096,512
73,4096,512
760,4096,512
49,4096,512
700,4096,512
52,4096,512
1350,4096,512
160,4096,512
47,4096,512
40,4096,512
569,4096,512
83,4096,512
136,4096,512
140,4096,512
279,4096,512
9,4096,512
744,4096,512
150,4096,512
157,4096,512
72,4096,512
944,4096,512
154,4096,512
68,4096,512
88,4096,512
90,4096,512
850,4096,512
597,4096,512
473,4096,512
178,4096,512
62,4096,512
16,4096,512
50,4096,512
236,4096,512
512,4096,512
476,4096,512
1494,4096,512
791,4096,512
381,4096,512
48,4096,512
657,4096,512
241,4096,512
135,4096,512
730,4096,512
651,4096,512
1371,4096,512
108,4096,512
76,4096,512
61,4096,512
411,4096,512
159,4096,512
389,4096,512
106,4096,512
1995,4096,512
105,4096,512
99,4096,512
515,4096,512
91,4096,512
641,4096,512
151,4096,512
776,4096,512
1514,1024,4096
634,4096,512
